id,username,password,totalIncome,totalOutflow,totalBalance,lastLoginDate
1233,1233,1233,0.00,0.00,0.00,2024-08-05
id888,Eric,1234,8000.00,0.00,8000.00,2024-08-06
id999,Jialuo,1234,25752.00,-44400.00,-18648.00,2024-08-06
id000,dana,1,0.00,0.00,0.00,2024-08-06
id00,DANA,1,100.00,0.00,100.00,2024-08-08
jessi,jess,jess,710.00,0.00,710.00,2024-08-06
id34,Chi Fong,1234,1000000.00,-201020.00,798980.00,2024-08-06
1,New,id1,0.00,0.00,0.00,2024-08-08,
1234,danaSB,id0,0.00,0.00,0.00,2024-08-08,
id0,dana,1234,2352.00,-2475.00,-123.00,2024-08-08
